helper,audit_status,current_effect,allocation_class,perry_heap_allocation,may_collect,may_reenter_js,reason,proof,runtime_locations,declaration_locations,literal_direct_call_locations,declaration_occurrences,literal_direct_call_occurrences,dynamic_calls,dynamic_window,dynamic_binary_sha256
js_abort_signal_add_listener,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:338,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1300,crates/perry-codegen/src/lower_call/options/abort.rs:139,1,1,,,
js_abort_signal_any,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:645,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1304,crates/perry-codegen/src/expr/static_method.rs:115,1,1,,,
js_abort_signal_throw_if_aborted,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:608,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1305,crates/perry-codegen/src/lower_call/options/abort.rs:71;crates/perry-codegen/src/lower_call/options/abort.rs:83,1,2,,,
js_abort_signal_timeout,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:564,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1301,crates/perry-codegen/src/expr/static_method.rs:92,1,1,,,
js_ads_banner_create,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:37,,1,0,,,
js_ads_banner_destroy,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:38,,1,0,,,
js_ads_interstitial_load,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:33,,1,0,,,
js_ads_interstitial_show,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:34,,1,0,,,
js_ads_request_consent,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:39,,1,0,,,
js_ads_rewarded_load,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:35,,1,0,,,
js_ads_rewarded_show,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:36,,1,0,,,
js_aggregateerror_new,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/error.rs:643,crates/perry-codegen/src/runtime_decls/strings_part2.rs:441,,1,0,,,
js_aggregateerror_new_full,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/error.rs:822,crates/perry-codegen/src/runtime_decls/strings_part2.rs:444,crates/perry-codegen/src/expr/array_methods.rs:158,1,1,,,
js_argon2_hash,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:11,,1,0,,,
js_argon2_hash_options,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/closure/v8_stubs.rs:299,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:12,,1,0,,,
js_argon2_verify,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:13,,1,0,,,
js_arguments_object_alloc,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/arguments.rs:162,crates/perry-codegen/src/runtime_decls/strings.rs:1099,crates/perry-codegen/src/codegen/arguments.rs:102,1,1,,,
js_arguments_object_map_index,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/arguments.rs:239,crates/perry-codegen/src/runtime_decls/strings.rs:1100,crates/perry-codegen/src/codegen/arguments.rs:114,1,1,,,
js_array_alloc,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:37,crates/perry-codegen/src/gc_call_effects.rs:1054;crates/perry-codegen/src/runtime_decls/arrays.rs:19,crates/perry-codegen/src/expr/array_literal.rs:73;crates/perry-codegen/src/expr/call_spread.rs:79;crates/perry-codegen/src/expr/logical_collections.rs:1004;crates/perry-codegen/src/expr/logical_collections.rs:1054;crates/perry-codegen/src/expr/objects_arrays_lit.rs:91;crates/perry-codegen/src/expr/static_field_meta.rs:203;crates/perry-codegen/src/expr/static_field_meta.rs:596;crates/perry-codegen/src/expr/static_method.rs:204;crates/perry-codegen/src/expr/super_method.rs:172;crates/perry-codegen/src/expr/this_super_call.rs:220;crates/perry-codegen/src/gc_call_effects.rs:974;crates/perry-codegen/src/gc_call_effects.rs:1066;crates/perry-codegen/src/lower_call/native/mod.rs:344;crates/perry-codegen/src/lower_call/native_module_dispatch.rs:113;crates/perry-codegen/src/lower_call/native_module_dispatch.rs:186;crates/perry-codegen/src/lower_call/new_ctor_args.rs:278;crates/perry-codegen/src/lower_call/property_get/dynamic_dispatch.rs:109;crates/perry-codegen/src/lower_call/property_get/static_dispatch.rs:193;crates/perry-codegen/src/lower_call/property_get/static_dispatch.rs:220;crates/perry-codegen/src/rooting/temp_root.rs:284,2,20,,,
js_array_alloc_literal,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:505,crates/perry-codegen/src/runtime_decls/arrays.rs:36,crates/perry-codegen/src/expr/array_literal.rs:254,1,1,,,
js_array_alloc_with_length,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:120,crates/perry-codegen/src/runtime_decls/objects.rs:386,crates/perry-codegen/src/expr/bigint_set.rs:444,1,1,,,
js_array_at,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:840,crates/perry-codegen/src/runtime_decls/strings.rs:1177,crates/perry-codegen/src/expr/os_uri_dates.rs:391;crates/perry-codegen/src/lower_array_method.rs:805,1,2,,,
js_array_buffer_new,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/buffer/from.rs:792,crates/perry-codegen/src/runtime_decls/strings_part2.rs:681,,1,0,,,
js_array_buffer_new_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/buffer/from.rs:799,crates/perry-codegen/src/runtime_decls/strings_part2.rs:683,,1,0,,,
js_array_clear_numeric_layout,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/header.rs:1775,crates/perry-codegen/src/runtime_decls/arrays.rs:90,,1,0,,,
js_array_clone,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/flat_clone.rs:423,crates/perry-codegen/src/runtime_decls/arrays.rs:231,,1,0,,,
js_array_clone_for_spread,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/flat_clone.rs:414,crates/perry-codegen/src/runtime_decls/arrays.rs:314,crates/perry-codegen/src/expr/objects_arrays_lit.rs:61,1,1,,,
js_array_concat,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:79,crates/perry-codegen/src/runtime_decls/strings.rs:365,crates/perry-codegen/src/expr/array_push.rs:667;crates/perry-codegen/src/expr/array_push.rs:1524,1,2,,,
js_array_concat_new,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:172,crates/perry-codegen/src/runtime_decls/strings.rs:366,,1,0,,,
js_array_concat_variadic,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/from_concat.rs:213,crates/perry-codegen/src/runtime_decls/arrays.rs:254,crates/perry-codegen/src/lower_array_method.rs:320,1,1,,,
js_array_constructor_single,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:176,crates/perry-codegen/src/runtime_decls/arrays.rs:33,crates/perry-codegen/src/lower_call/builtin.rs:1130,1,1,,,
js_array_copy_within,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/immutable.rs:341,crates/perry-codegen/src/runtime_decls/strings.rs:1304,crates/perry-codegen/src/expr/os_uri_dates.rs:269;crates/perry-codegen/src/lower_array_method.rs:388,1,2,,,
js_array_copy_within_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/immutable.rs:561,crates/perry-codegen/src/runtime_decls/strings.rs:1309,crates/perry-codegen/src/expr/os_uri_dates.rs:297,1,1,,,
js_array_create,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:100,crates/perry-codegen/src/runtime_decls/arrays.rs:32,crates/perry-codegen/src/lower_call/builtin.rs:1123,1,1,,,
js_array_declare_all_pointer_elements,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/header.rs:1863,crates/perry-codegen/src/runtime_decls/arrays.rs:101,crates/perry-codegen/src/expr/helpers.rs:391,1,1,,,
js_array_delete,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/push_pop.rs:1478,crates/perry-codegen/src/runtime_decls/arrays.rs:226,,1,0,,,
js_array_ensure_element_shape,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/element_shape.rs:741,crates/perry-codegen/src/runtime_decls/arrays.rs:57,crates/perry-codegen/src/expr/element_shape_guard.rs:258,1,1,,,
js_array_entries,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/flat_clone.rs:662,crates/perry-codegen/src/runtime_decls/strings_part2.rs:942,,1,0,,,
js_array_entries_iter_obj,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_object.rs:620,crates/perry-codegen/src/runtime_decls/strings_part2.rs:947,crates/perry-codegen/src/expr/arrays_finds.rs:1411;crates/perry-codegen/src/lower_array_method.rs:1034,1,2,,,
js_array_every,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:1047,crates/perry-codegen/src/runtime_decls/strings_part2.rs:694,crates/perry-codegen/src/expr/logical_collections.rs:610,1,1,,,
js_array_fill,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:452,crates/perry-codegen/src/runtime_decls/arrays.rs:219,crates/perry-codegen/src/lower_array_method.rs:861,1,1,,,
js_array_fill_f64_const_extend,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/fill_extend.rs:23,crates/perry-codegen/src/runtime_decls/arrays.rs:66,crates/perry-codegen/src/stmt/loops.rs:359,1,1,,,
js_array_fill_f64_const_len_extend,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/fill_extend.rs:106,crates/perry-codegen/src/runtime_decls/arrays.rs:68,crates/perry-codegen/src/stmt/loops.rs:327,1,1,,,
js_array_fill_f64_iota_extend,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/fill_extend.rs:140,crates/perry-codegen/src/runtime_decls/arrays.rs:67,crates/perry-codegen/src/stmt/loops.rs:365,1,1,,,
js_array_fill_f64_iota_len_extend,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/fill_extend.rs:214,crates/perry-codegen/src/runtime_decls/arrays.rs:69,crates/perry-codegen/src/stmt/loops.rs:333,1,1,,,
js_array_fill_generic,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:572,crates/perry-codegen/src/runtime_decls/arrays.rs:221,crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:201,1,1,,,
js_array_fill_range,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:492,crates/perry-codegen/src/runtime_decls/arrays.rs:220,crates/perry-codegen/src/lower_array_method.rs:877,1,1,,,
js_array_fill_range_strided_tagged,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/numeric_range.rs:161,crates/perry-codegen/src/runtime_decls/arrays.rs:80,crates/perry-codegen/src/stmt/loops.rs:773,1,1,,,
js_array_filter,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:509,crates/perry-codegen/src/runtime_decls/strings.rs:364,crates/perry-codegen/src/expr/logical_collections.rs:434;crates/perry-codegen/src/lower_array_method.rs:650,1,2,,,
js_array_find,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:604,crates/perry-codegen/src/runtime_decls/strings_part2.rs:688,crates/perry-codegen/src/expr/arrays_finds.rs:505;crates/perry-codegen/src/lower_array_method.rs:463,1,2,,,
js_array_findIndex,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:668,crates/perry-codegen/src/runtime_decls/strings_part2.rs:689,crates/perry-codegen/src/expr/arrays_finds.rs:516;crates/perry-codegen/src/lower_array_method.rs:493,1,2,,,
js_array_find_last,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:737,crates/perry-codegen/src/runtime_decls/strings_part2.rs:690,crates/perry-codegen/src/expr/arrays_finds.rs:527;crates/perry-codegen/src/lower_array_method.rs:507,1,2,,,
js_array_find_last_index,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:788,crates/perry-codegen/src/runtime_decls/strings_part2.rs:691,crates/perry-codegen/src/expr/arrays_finds.rs:538;crates/perry-codegen/src/lower_array_method.rs:520,1,2,,,
js_array_flat,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/flat_clone.rs:358,crates/perry-codegen/src/runtime_decls/strings.rs:1286,crates/perry-codegen/src/expr/string_regex_proc.rs:305;crates/perry-codegen/src/lower_array_method.rs:409,1,2,,,
js_array_flatMap,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:1120,crates/perry-codegen/src/runtime_decls/strings.rs:1288,crates/perry-codegen/src/expr/string_regex_proc.rs:315;crates/perry-codegen/src/lower_array_method.rs:429,1,2,,,
js_array_flat_depth,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/flat_clone.rs:271,crates/perry-codegen/src/runtime_decls/strings.rs:1287,crates/perry-codegen/src/lower_array_method.rs:414,1,1,,,
js_array_forEach,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:218,crates/perry-codegen/src/runtime_decls/arrays.rs:218,crates/perry-codegen/src/expr/misc_methods.rs:657;crates/perry-codegen/src/lower_array_method.rs:681,1,2,,,
js_array_from_arraylike_holey_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:322,crates/perry-codegen/src/runtime_decls/arrays.rs:245,crates/perry-codegen/src/expr/instance_misc1.rs:828,1,1,,,
js_array_from_async,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/promise/async_step.rs:1277,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:504,crates/perry-codegen/src/expr/arrays_finds.rs:834;crates/perry-codegen/src/lower_call/console_promise.rs:722,1,2,,,
js_array_from_mapped,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/from_concat.rs:168,crates/perry-codegen/src/runtime_decls/arrays.rs:251,crates/perry-codegen/src/expr/instance_misc1.rs:917,1,1,,,
js_array_from_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/from_concat.rs:76,crates/perry-codegen/src/runtime_decls/arrays.rs:242,crates/perry-codegen/src/expr/instance_misc1.rs:821;crates/perry-codegen/src/expr/instance_misc1.rs:932,1,2,,,
js_array_from_values,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:534,crates/perry-codegen/src/runtime_decls/arrays.rs:39,crates/perry-codegen/src/expr/array_literal.rs:118,1,1,,,
js_array_get_element,reviewed,Unknown,may allocate,may,may,may,"Descriptor, hole/out-of-bounds prototype or polymorphic fallback reaches generic property access. Even unchecked/numeric exports retain fallback branches. No global leaf classification from their dense hot paths.",array/indexing.rs:355-650; array/indexing_support.rs:15-24; proxy/get.rs:7-77,crates/perry-runtime/src/array/indexing.rs:355,,crates/perry-codegen/src/lower_call/native/native_tui_layout_branch.rs:446,0,1,,,
js_array_get_element_f64,reviewed,Unknown,may allocate,may,may,may,"Descriptor, hole/out-of-bounds prototype or polymorphic fallback reaches generic property access. Even unchecked/numeric exports retain fallback branches. No global leaf classification from their dense hot paths.",array/indexing.rs:355-650; array/indexing_support.rs:15-24; proxy/get.rs:7-77,crates/perry-runtime/src/array/indexing.rs:361,,,0,0,,,
js_array_get_f64,reviewed,Unknown,may allocate,may,may,may,"Descriptor, hole/out-of-bounds prototype or polymorphic fallback reaches generic property access. Even unchecked/numeric exports retain fallback branches. No global leaf classification from their dense hot paths.",array/indexing.rs:355-650; array/indexing_support.rs:15-24; proxy/get.rs:7-77,crates/perry-runtime/src/array/indexing.rs:450,crates/perry-codegen/src/runtime_decls/arrays.rs:52,crates/perry-codegen/src/expr/call_spread.rs:216;crates/perry-codegen/src/expr/call_spread.rs:251;crates/perry-codegen/src/expr/index_get.rs:1080;crates/perry-codegen/src/expr/this_super_call.rs:316;crates/perry-codegen/src/expr/this_super_call.rs:323;crates/perry-codegen/src/expr/this_super_call.rs:391;crates/perry-codegen/src/expr/this_super_call.rs:425;crates/perry-codegen/src/expr/this_super_call.rs:455;crates/perry-codegen/src/expr/this_super_call.rs:458,1,9,,,
js_array_get_f64_unchecked,reviewed,Unknown,may allocate,may,may,may,"Descriptor, hole/out-of-bounds prototype or polymorphic fallback reaches generic property access. Even unchecked/numeric exports retain fallback branches. No global leaf classification from their dense hot paths.",array/indexing.rs:355-650; array/indexing_support.rs:15-24; proxy/get.rs:7-77,crates/perry-runtime/src/array/indexing.rs:369,,,0,0,,,
js_array_get_index_or_string,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/indexing_keyed.rs:145,crates/perry-codegen/src/runtime_decls/arrays.rs:58,crates/perry-codegen/src/expr/index_get.rs:313;crates/perry-codegen/src/expr/index_get.rs:565,1,2,,,
js_array_get_length,reviewed,Unknown,may allocate,may,may,may,"Proxy arm allocates length key, calls js_proxy_get then js_number_coerce; ordinary object arm calls by-name getter/coercion. Typed pointer spelling does not exclude those expressly supported arms. Existing AllocNoReentry rationale is stale for the complete export.","array/indexing.rs:194-345,349-351; array/header.rs:984-999; proxy/get.rs:7-77",crates/perry-runtime/src/array/indexing.rs:349,,crates/perry-codegen/src/lower_call/native/native_tui_layout_branch.rs:421,0,1,,,
js_array_includes_f64,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/search.rs:285,crates/perry-codegen/src/runtime_decls/strings.rs:1222,,1,0,,,
js_array_includes_jsvalue,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/search.rs:299,crates/perry-codegen/src/runtime_decls/strings.rs:1223,crates/perry-codegen/src/expr/instance_misc1.rs:1338;crates/perry-codegen/src/lower_array_method.rs:711,1,2,,,
js_array_indexOf_f64,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/search.rs:47,crates/perry-codegen/src/runtime_decls/strings.rs:1213,,1,0,,,
