stage,category,callee,callsites,statepoints,leaf_callsites,gc_live_operands,gc_relocate_intrinsics,relocates_attributed,relocates_unattributed,audit_match,runtime_source_identity,audit_status,current_effect,allocation_class,perry_heap_allocation,may_collect,may_reenter_js,reason,proof,runtime_locations,declaration_locations,literal_direct_call_locations,declaration_occurrences,literal_direct_call_occurrences,dynamic_calls,dynamic_window,dynamic_binary_sha256,reviewed_unannotated_no_collect
post-opt,external-unclassified,js_events_set_max_listeners,14,14,0,57,0,78,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/streams_events.rs:176,,1,0,,,,false
post-opt,external-unclassified,js_ext_net_create_server,2,2,0,7,0,14,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:170,crates/perry-codegen/src/expr/env_clones.rs:184,1,1,,,,false
post-opt,external-unclassified,js_ext_net_socket_connect,5,5,0,8,0,12,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:171,,1,0,,,,false
post-opt,external-unclassified,js_ext_net_socket_on,3,3,0,4,0,4,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:233,,1,0,,,,false
post-opt,external-unclassified,js_ext_net_socket_once,3,3,0,2,0,2,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:232,,1,0,,,,false
post-opt,external-unclassified,js_ext_tls_connect,1,1,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:234,,1,0,,,,false
post-opt,external-unclassified,js_fetch_response_json,1,1,0,3,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1046,crates/perry-codegen/src/lower_call/options/fetch.rs:548,1,1,,,,false
post-opt,external-unclassified,js_fetch_response_ok,3,3,0,10,0,20,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1040,crates/perry-codegen/src/lower_call/options/fetch.rs:573,1,1,,,,false
post-opt,external-unclassified,js_fetch_response_status,6,6,0,26,0,48,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1038,crates/perry-codegen/src/lower_call/options/fetch.rs:553,1,1,,,,false
post-opt,external-unclassified,js_fetch_response_text,1,1,0,3,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1045,crates/perry-codegen/src/lower_call/options/fetch.rs:543,1,1,,,,false
post-opt,external-unclassified,js_file_new,6,6,0,21,0,36,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1085,crates/perry-codegen/src/lower_call/builtin.rs:1327,1,1,,,,false
post-opt,external-unclassified,js_form_data_new,4,4,0,11,0,17,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1055,crates/perry-codegen/src/lower_call/builtin.rs:1384,1,1,,,,false
post-opt,external-unclassified,js_headers_append,5,5,0,30,0,35,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:976,,1,0,,,,false
post-opt,external-unclassified,js_headers_delete,10,10,0,70,0,80,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:984,crates/perry-codegen/src/lower_call/options/fetch.rs:313,1,1,,,,false
post-opt,external-unclassified,js_headers_get,1,1,0,3,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:978,crates/perry-codegen/src/lower_call/options/fetch.rs:264,1,1,,,,false
post-opt,external-unclassified,js_headers_has,2,2,0,6,0,12,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:982,crates/perry-codegen/src/lower_call/options/fetch.rs:299,1,1,,,,false
post-opt,external-unclassified,js_headers_set,5,5,0,17,0,32,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:974,crates/perry-codegen/src/lower_call/builtin.rs:1361;crates/perry-codegen/src/lower_call/options/mod.rs:60,1,2,,,,false
post-opt,external-unclassified,js_http_agent_new,2,2,0,4,0,7,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:156,,1,0,,,,false
post-opt,external-unclassified,js_http_client_request_destroy,5,5,0,10,0,10,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:92,,1,0,,,,false
post-opt,external-unclassified,js_http_client_request_end_full,1,1,0,4,0,4,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:65,,1,0,,,,false
post-opt,external-unclassified,js_http_on,3,3,0,6,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:114,,1,0,,,,false
post-opt,external-unclassified,js_http_request_overload,4,4,0,11,0,14,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:111,,1,0,,,,false
post-opt,external-unclassified,js_http_status_code,1,1,0,3,0,3,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:152,,1,0,,,,false
post-opt,external-unclassified,js_https_agent_new,2,2,0,2,0,2,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:157,,1,0,,,,false
post-opt,external-unclassified,js_https_request_overload,2,2,0,5,0,5,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:113,,1,0,,,,false
post-opt,external-unclassified,js_net_block_list_add_address,1,1,0,1,0,1,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:205,,1,0,,,,false
post-opt,external-unclassified,js_net_block_list_add_subnet,2,2,0,2,0,2,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:207,,1,0,,,,false
post-opt,external-unclassified,js_net_block_list_new,2,2,0,3,0,3,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:203,crates/perry-codegen/src/lower_call/builtin.rs:467,1,1,,,,false
post-opt,external-unclassified,js_net_is_ip,10,10,0,25,0,27,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_net_server_once,1,1,0,3,0,3,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:240,,1,0,,,,false
post-opt,external-unclassified,js_net_socket_destroy,3,3,0,4,0,4,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_net_socket_set_timeout,2,2,0,3,0,3,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:182,,1,0,,,,false
post-opt,external-unclassified,js_node_http2_connect,1,1,0,3,0,3,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:352,,1,0,,,,false
post-opt,external-unclassified,js_node_http_create_server_with_options,7,7,0,11,0,11,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_node_http_server_close,2,2,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:198,,1,0,,,,false
post-opt,external-unclassified,js_node_http_server_listen,2,2,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:197,,1,0,,,,false
post-opt,external-unclassified,js_node_http_server_on,2,2,0,3,0,3,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/net_http.rs:204,,1,0,,,,false
post-opt,external-unclassified,js_node_stream_method_on,4,4,0,12,0,24,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_node_stream_method_once,1,1,0,3,0,6,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_path_basename_ext_value,8,8,0,34,0,45,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:1711,crates/perry-codegen/src/expr/instance_misc1.rs:1564,1,1,,,,false
post-opt,external-unclassified,js_path_join_value,1325,1297,0,3604,0,5895,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:1707,crates/perry-codegen/src/expr/instance_misc1.rs:975,1,1,,,,false
post-opt,external-unclassified,js_path_resolve_join_value,83,83,0,319,0,411,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:1709,crates/perry-codegen/src/expr/arrays_finds.rs:750,1,1,,,,false
post-opt,external-unclassified,js_path_win32_join_value,12,12,0,8,0,12,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:1708,crates/perry-codegen/src/expr/instance_misc1.rs:990,1,1,,,,false
post-opt,external-unclassified,js_process_get_active_handles,1,1,0,3,0,6,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_process_get_active_requests,1,1,0,3,0,6,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_readable_stream_new_with_strategy_and_source_type,7,7,0,13,0,16,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1120,crates/perry-codegen/src/lower_call/builtin.rs:1566,1,1,,,,false
post-opt,external-unclassified,js_readline_create_interface,3,3,0,15,0,15,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_readline_on,3,3,0,11,0,11,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_readline_stdin_pause,2,2,0,7,0,13,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:1047,,1,0,,,,false
post-opt,external-unclassified,js_readline_stdin_ref,1,0,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:1050,,1,0,,,,false
post-opt,external-unclassified,js_readline_stdin_resume,1,1,0,3,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:1048,,1,0,,,,false
post-opt,external-unclassified,js_request_input_to_url,1,1,0,1,0,1,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1008,crates/perry-codegen/src/lower_call/builtin.rs:1405,1,1,,,,false
post-opt,external-unclassified,js_request_new_from_init,1,1,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1006,crates/perry-codegen/src/lower_call/builtin.rs:1431,1,1,,,,false
post-opt,external-unclassified,js_response_blob,1,1,0,3,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1052,crates/perry-codegen/src/lower_call/options/fetch.rs:627,1,1,,,,false
post-opt,external-unclassified,js_response_body,2,2,0,9,0,17,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1108,crates/perry-codegen/src/lower_call/options/fetch.rs:646,1,1,,,,false
post-opt,external-unclassified,js_response_body_init_ptr,6,6,0,18,0,36,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:970,crates/perry-codegen/src/lower_call/builtin.rs:1156,1,1,,,,false
post-opt,external-unclassified,js_response_body_init_reset,6,6,0,18,0,36,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:967,crates/perry-codegen/src/lower_call/builtin.rs:1147,1,1,,,,false
post-opt,external-unclassified,js_shadow_frame_enter,7,0,0,0,0,0,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_stream_unwrap_handle,3,3,0,48,0,52,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1248,crates/perry-codegen/src/lower_call/options/fetch.rs:893;crates/perry-codegen/src/lower_call/options/fetch.rs:946;crates/perry-codegen/src/lower_call/options/fetch.rs:965;crates/perry-codegen/src/lower_call/options/fetch.rs:1126;crates/perry-codegen/src/lower_call/options/fetch.rs:1236,1,5,,,,false
post-opt,external-unclassified,js_stream_web_text_decoder_stream_new,1,1,0,5,0,9,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1229,crates/perry-codegen/src/lower_call/builtin.rs:1734,1,1,,,,false
post-opt,external-unclassified,js_string_bold,87,86,0,339,0,410,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:685,,1,0,,,,false
post-opt,external-unclassified,js_string_link,4,4,0,11,0,11,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:693,,1,0,,,,false
post-opt,external-unclassified,js_string_sub,12,12,0,20,0,20,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings.rs:690,,1,0,,,,false
post-opt,external-unclassified,js_transform_stream_new,4,4,0,49,0,53,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1213,crates/perry-codegen/src/lower_call/builtin.rs:1706,1,1,,,,false
post-opt,external-unclassified,js_transform_stream_new_from_transformer_object,1,1,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1218,crates/perry-codegen/src/lower_call/builtin.rs:1695,1,1,,,,false
