helper,audit_status,current_effect,allocation_class,perry_heap_allocation,may_collect,may_reenter_js,reason,proof,runtime_locations,declaration_locations,literal_direct_call_locations,declaration_occurrences,literal_direct_call_occurrences,dynamic_calls,dynamic_window,dynamic_binary_sha256,post-opt_callsites,post-opt_statepoints,post-opt_gc_live_operands,post-rs4gc_callsites,post-rs4gc_statepoints,post-rs4gc_gc_live_operands,pre-rs4gc_callsites,pre-rs4gc_statepoints,pre-rs4gc_gc_live_operands
js_array_concat_variadic,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/from_concat.rs:213,crates/perry-codegen/src/runtime_decls/arrays.rs:254,crates/perry-codegen/src/lower_array_method.rs:320,1,1,,,,116,116,1657,116,116,1657,116,0,0
js_array_constructor_single,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:176,crates/perry-codegen/src/runtime_decls/arrays.rs:33,crates/perry-codegen/src/lower_call/builtin.rs:1130,1,1,,,,120,120,602,120,120,602,120,0,0
js_array_copy_within,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/immutable.rs:341,crates/perry-codegen/src/runtime_decls/strings.rs:1304,crates/perry-codegen/src/expr/os_uri_dates.rs:269;crates/perry-codegen/src/lower_array_method.rs:388,1,2,,,,6,6,40,6,6,40,6,0,0
js_array_declare_all_pointer_elements,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/header.rs:1863,crates/perry-codegen/src/runtime_decls/arrays.rs:101,crates/perry-codegen/src/expr/helpers.rs:391,1,1,,,,150,6,30,150,6,30,150,0,0
js_array_entries_iter_obj,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_object.rs:620,crates/perry-codegen/src/runtime_decls/strings_part2.rs:947,crates/perry-codegen/src/expr/arrays_finds.rs:1411;crates/perry-codegen/src/lower_array_method.rs:1034,1,2,,,,8,8,26,8,8,26,8,0,0
js_array_every,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:1047,crates/perry-codegen/src/runtime_decls/strings_part2.rs:694,crates/perry-codegen/src/expr/logical_collections.rs:610,1,1,,,,28,28,139,28,28,139,28,0,0
js_array_fill,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:452,crates/perry-codegen/src/runtime_decls/arrays.rs:219,crates/perry-codegen/src/lower_array_method.rs:861,1,1,,,,36,36,275,36,36,275,36,0,0
js_array_fill_range,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:492,crates/perry-codegen/src/runtime_decls/arrays.rs:220,crates/perry-codegen/src/lower_array_method.rs:877,1,1,,,,1,1,3,1,1,3,2,0,0
js_array_filter,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:509,crates/perry-codegen/src/runtime_decls/strings.rs:364,crates/perry-codegen/src/expr/logical_collections.rs:434;crates/perry-codegen/src/lower_array_method.rs:650,1,2,,,,422,417,1552,422,417,1552,422,0,0
js_array_find,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:604,crates/perry-codegen/src/runtime_decls/strings_part2.rs:688,crates/perry-codegen/src/expr/arrays_finds.rs:505;crates/perry-codegen/src/lower_array_method.rs:463,1,2,,,,92,92,261,92,92,261,92,0,0
js_array_findIndex,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:668,crates/perry-codegen/src/runtime_decls/strings_part2.rs:689,crates/perry-codegen/src/expr/arrays_finds.rs:516;crates/perry-codegen/src/lower_array_method.rs:493,1,2,,,,15,15,44,15,15,44,15,0,0
js_array_find_last,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:737,crates/perry-codegen/src/runtime_decls/strings_part2.rs:690,crates/perry-codegen/src/expr/arrays_finds.rs:527;crates/perry-codegen/src/lower_array_method.rs:507,1,2,,,,17,15,31,17,15,31,17,0,0
js_array_find_last_index,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:788,crates/perry-codegen/src/runtime_decls/strings_part2.rs:691,crates/perry-codegen/src/expr/arrays_finds.rs:538;crates/perry-codegen/src/lower_array_method.rs:520,1,2,,,,3,1,6,3,1,6,3,0,0
js_array_flat,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/flat_clone.rs:358,crates/perry-codegen/src/runtime_decls/strings.rs:1286,crates/perry-codegen/src/expr/string_regex_proc.rs:305;crates/perry-codegen/src/lower_array_method.rs:409,1,2,,,,19,19,70,19,19,70,19,0,0
js_array_flatMap,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:1120,crates/perry-codegen/src/runtime_decls/strings.rs:1288,crates/perry-codegen/src/expr/string_regex_proc.rs:315;crates/perry-codegen/src/lower_array_method.rs:429,1,2,,,,68,66,167,68,66,167,68,0,0
js_array_forEach,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:218,crates/perry-codegen/src/runtime_decls/arrays.rs:218,crates/perry-codegen/src/expr/misc_methods.rs:657;crates/perry-codegen/src/lower_array_method.rs:681,1,2,,,,190,190,345,190,190,345,191,0,0
js_array_from_mapped,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/from_concat.rs:168,crates/perry-codegen/src/runtime_decls/arrays.rs:251,crates/perry-codegen/src/expr/instance_misc1.rs:917,1,1,,,,25,25,51,25,25,51,25,0,0
js_array_from_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/from_concat.rs:76,crates/perry-codegen/src/runtime_decls/arrays.rs:242,crates/perry-codegen/src/expr/instance_misc1.rs:821;crates/perry-codegen/src/expr/instance_misc1.rs:932,1,2,,,,188,186,763,188,186,763,188,0,0
js_array_from_values,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:534,crates/perry-codegen/src/runtime_decls/arrays.rs:39,crates/perry-codegen/src/expr/array_literal.rs:118,1,1,,,,25158,11940,371103,25160,11939,371103,25180,0,0
js_array_get_f64,reviewed,Unknown,may allocate,may,may,may,"Descriptor, hole/out-of-bounds prototype or polymorphic fallback reaches generic property access. Even unchecked/numeric exports retain fallback branches. No global leaf classification from their dense hot paths.",array/indexing.rs:355-650; array/indexing_support.rs:15-24; proxy/get.rs:7-77,crates/perry-runtime/src/array/indexing.rs:450,crates/perry-codegen/src/runtime_decls/arrays.rs:52,crates/perry-codegen/src/expr/call_spread.rs:216;crates/perry-codegen/src/expr/call_spread.rs:251;crates/perry-codegen/src/expr/index_get.rs:1080;crates/perry-codegen/src/expr/this_super_call.rs:316;crates/perry-codegen/src/expr/this_super_call.rs:323;crates/perry-codegen/src/expr/this_super_call.rs:391;crates/perry-codegen/src/expr/this_super_call.rs:425;crates/perry-codegen/src/expr/this_super_call.rs:455;crates/perry-codegen/src/expr/this_super_call.rs:458,1,9,,,,27,27,47,27,27,47,27,0,0
js_array_get_index_or_string,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/indexing_keyed.rs:145,crates/perry-codegen/src/runtime_decls/arrays.rs:58,crates/perry-codegen/src/expr/index_get.rs:313;crates/perry-codegen/src/expr/index_get.rs:565,1,2,,,,1079,1079,5653,1085,1085,5680,1088,0,0
js_array_includes_jsvalue,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/search.rs:299,crates/perry-codegen/src/runtime_decls/strings.rs:1223,crates/perry-codegen/src/expr/instance_misc1.rs:1338;crates/perry-codegen/src/lower_array_method.rs:711,1,2,,,,223,197,708,222,196,708,222,0,0
js_array_indexOf_jsvalue,reviewed,AllocNoReentry,may allocate,may,may,may,from_index_to_integer invokes ToNumber; exotic element loop uses array_spec_has_index/get; BigInt typed-array read can construct BigInt. Strict equality itself does not eliminate these effects. Existing AllocNoReentry rationale does not cover current body.,"array/search.rs:25-32,83-177",crates/perry-runtime/src/array/search.rs:112,crates/perry-codegen/src/runtime_decls/strings.rs:1216,crates/perry-codegen/src/expr/misc_methods.rs:603;crates/perry-codegen/src/lower_array_method.rs:756,1,2,,,,62,62,290,62,62,290,62,0,0
js_array_is_array,reviewed,Unknown,may allocate,may,may,unclear,Explicit Proxy unwrap rejects revoked proxies through an allocating TypeError. Its ordinary header probe is insufficient as whole-export proof; no callable trap is required for this counterexample.,array/is_array.rs:6-80; proxy.rs:567-582; collection_iter.rs:146-150,crates/perry-runtime/src/array/is_array.rs:6,crates/perry-codegen/src/runtime_decls/arrays.rs:106,crates/perry-codegen/src/expr/array_methods.rs:128,1,1,,,,996,989,3778,996,989,3778,1006,0,0
js_array_join_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/join.rs:767,crates/perry-codegen/src/runtime_decls/arrays.rs:217,crates/perry-codegen/src/expr/logical_collections.rs:633;crates/perry-codegen/src/lower_array_method.rs:224,1,2,,,,650,647,2677,650,647,2679,651,0,0
js_array_last_index_of_jsvalue,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/search.rs:185,crates/perry-codegen/src/runtime_decls/strings.rs:1217,crates/perry-codegen/src/expr/misc_methods.rs:635;crates/perry-codegen/src/lower_array_method.rs:787,1,2,,,,3,3,6,3,3,6,3,0,0
js_array_length,reviewed,AllocNoReentry,may allocate,may,may,may,"Proxy arm allocates length key, calls js_proxy_get then js_number_coerce; ordinary object arm calls by-name getter/coercion. Typed pointer spelling does not exclude those expressly supported arms. Existing AllocNoReentry rationale is stale for the complete export.","array/indexing.rs:194-345,349-351; array/header.rs:984-999; proxy/get.rs:7-77",crates/perry-runtime/src/array/indexing.rs:194,crates/perry-codegen/src/runtime_decls/arrays.rs:102,crates/perry-codegen/src/expr/array_push.rs:344;crates/perry-codegen/src/expr/arrays_finds.rs:1393;crates/perry-codegen/src/expr/this_super_call.rs:284;crates/perry-codegen/src/lower_array_method.rs:938;crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:292;crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:368;crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:450;crates/perry-codegen/src/stmt/loops.rs:323,1,8,,,,1631,1611,7458,1631,1611,7458,1658,0,0
js_array_like_to_array,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/arguments.rs:625,crates/perry-codegen/src/runtime_decls/strings.rs:1101,crates/perry-codegen/src/expr/call_spread.rs:111;crates/perry-codegen/src/expr/call_spread.rs:209;crates/perry-codegen/src/expr/call_spread.rs:231;crates/perry-codegen/src/expr/call_spread.rs:244;crates/perry-codegen/src/expr/call_spread.rs:563;crates/perry-codegen/src/expr/logical_collections.rs:1033;crates/perry-codegen/src/expr/logical_collections.rs:1078,1,7,,,,238,238,1177,238,238,1177,238,0,0
js_array_live_head,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/indexing_support.rs:48,crates/perry-codegen/src/runtime_decls/arrays.rs:183,crates/perry-codegen/src/expr/logical_collections.rs:210,1,1,,,,53,21,81,53,21,81,53,0,0
js_array_map,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:317,crates/perry-codegen/src/runtime_decls/strings.rs:362,crates/perry-codegen/src/expr/math_simple.rs:528;crates/perry-codegen/src/lower_array_method.rs:619,1,2,,,,497,491,1972,497,491,1972,497,0,0
js_array_mark_arguments_object,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/header.rs:1374,crates/perry-codegen/src/runtime_decls/arrays.rs:87,crates/perry-codegen/src/expr/static_method.rs:220;crates/perry-codegen/src/expr/super_method.rs:179;crates/perry-codegen/src/lower_call/mod.rs:359;crates/perry-codegen/src/lower_call/property_get/dynamic_dispatch.rs:116;crates/perry-codegen/src/lower_call/property_get/static_dispatch.rs:201,1,5,,,,7,7,23,7,7,23,7,0,0
js_array_note_numeric_write,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/header.rs:1783,crates/perry-codegen/src/runtime_decls/arrays.rs:96,crates/perry-codegen/src/expr/write_barrier.rs:476,1,1,,,,2238,550,3814,2238,550,3814,2300,0,0
js_array_numeric_value_to_raw_f64,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/header.rs:1161,crates/perry-codegen/src/runtime_decls/arrays.rs:91,crates/perry-codegen/src/expr/index.rs:20;crates/perry-codegen/src/expr/index_set.rs:59;crates/perry-codegen/src/expr/property_set.rs:66;crates/perry-codegen/src/lower_call/scalar_method.rs:740,1,4,,,,28,0,0,28,0,0,28,0,0
js_array_pop_f64,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/push_pop.rs:1059,crates/perry-codegen/src/runtime_decls/arrays.rs:215,crates/perry-codegen/src/expr/array_pop.rs:211;crates/perry-codegen/src/expr/math_simple.rs:496,1,2,,,,44,44,273,44,44,273,44,0,0
js_array_push_f64,reviewed,AllocNoReentry,may allocate,may,may,may,"Complete routes include Proxy get/set, array-like object method/set paths, descriptor-aware fallback and grow allocation. In-capacity ordinary-array fast arm is not whole-export evidence. Existing AllocNoReentry needs callsite contract proof.","array/push_pop.rs:654-708,764-928",crates/perry-runtime/src/array/push_pop.rs:654,crates/perry-codegen/src/runtime_decls/arrays.rs:44,crates/perry-codegen/src/expr/static_field_meta.rs:207;crates/perry-codegen/src/expr/static_method.rs:213;crates/perry-codegen/src/expr/super_method.rs:175;crates/perry-codegen/src/expr/this_super_call.rs:225;crates/perry-codegen/src/lower_call/native/mod.rs:348;crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:363;crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:387;crates/perry-codegen/src/lower_call/native_module_dispatch.rs:116;crates/perry-codegen/src/lower_call/new_ctor_args.rs:280;crates/perry-codegen/src/lower_call/property_get/dynamic_dispatch.rs:112;crates/perry-codegen/src/lower_call/property_get/static_dispatch.rs:197;crates/perry-codegen/src/lower_call/property_get/static_dispatch.rs:225;crates/perry-codegen/src/rooting/temp_root.rs:260,1,13,,,,7774,7727,41696,7774,7727,41696,7796,0,0
js_array_push_f64_spec,reviewed,Unknown,may allocate,may,may,may,"Complete routes include Proxy get/set, array-like object method/set paths, descriptor-aware fallback and grow allocation. In-capacity ordinary-array fast arm is not whole-export evidence. Existing AllocNoReentry needs callsite contract proof.","array/push_pop.rs:654-708,764-928",crates/perry-runtime/src/array/push_pop.rs:855,crates/perry-codegen/src/runtime_decls/arrays.rs:46,crates/perry-codegen/src/expr/array_push.rs:626;crates/perry-codegen/src/expr/array_push.rs:997;crates/perry-codegen/src/expr/array_push.rs:1204;crates/perry-codegen/src/expr/array_push.rs:1460;crates/perry-codegen/src/expr/array_push.rs:1481,1,5,,,,6005,5972,23222,6005,5972,23222,6133,0,0
js_array_push_guard,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/push_pop.rs:106,crates/perry-codegen/src/runtime_decls/arrays.rs:47,crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:361;crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:383,1,2,,,,41,41,142,41,41,142,41,0,0
js_array_push_hole,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/push_pop.rs:930,crates/perry-codegen/src/runtime_decls/arrays.rs:48,,1,0,,,,132,132,485,132,132,485,132,0,0
js_array_push_spread_f64,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/push_pop.rs:1001,crates/perry-codegen/src/runtime_decls/arrays.rs:51,crates/perry-codegen/src/lower_call/native/native_instance_branch.rs:239,1,1,,,,5,5,13,5,5,13,5,0,0
js_array_reduce,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:1201,crates/perry-codegen/src/runtime_decls/strings.rs:1281,crates/perry-codegen/src/lower_array_method.rs:547,1,1,,,,87,87,239,87,87,239,87,0,0
js_array_reduce_right,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/reduce_right.rs:19,crates/perry-codegen/src/runtime_decls/strings.rs:1282,crates/perry-codegen/src/lower_array_method.rs:578,1,1,,,,2,2,2,2,2,2,2,0,0
js_array_refresh_local_head,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/header.rs:1336,crates/perry-codegen/src/runtime_decls/arrays.rs:95,crates/perry-codegen/src/expr/element_shape_guard.rs:211;crates/perry-codegen/src/expr/index.rs:373;crates/perry-codegen/src/expr/index_get/guarded_array.rs:443,1,3,,,,211,200,2262,211,200,2262,218,0,0
js_array_reverse,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:202,crates/perry-codegen/src/runtime_decls/strings.rs:1284,crates/perry-codegen/src/lower_array_method.rs:361,1,1,,,,33,33,93,33,33,93,33,0,0
js_array_set_f64,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/indexing.rs:755,crates/perry-codegen/src/runtime_decls/arrays.rs:60,crates/perry-codegen/src/expr/static_field_meta.rs:560,1,1,,,,103,92,2045,103,92,2045,103,0,0
js_array_set_f64_extend_strict,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/indexing.rs:1149,crates/perry-codegen/src/runtime_decls/arrays.rs:65,crates/perry-codegen/src/expr/index.rs:776,1,1,,,,193,182,2127,193,182,2127,200,0,0
js_array_set_f64_unchecked,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/indexing.rs:666,crates/perry-codegen/src/runtime_decls/objects.rs:388,crates/perry-codegen/src/expr/bigint_set.rs:448,1,1,,,,265,265,2213,265,265,2213,265,0,0
js_array_set_length_strict,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/push_pop.rs:1285,crates/perry-codegen/src/runtime_decls/arrays.rs:229,crates/perry-codegen/src/expr/property_set.rs:455,1,1,,,,29,29,48,29,29,48,30,0,0
js_array_shift_f64,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/push_pop.rs:1520,crates/perry-codegen/src/runtime_decls/strings.rs:439,crates/perry-codegen/src/expr/logical_collections.rs:1143;crates/perry-codegen/src/lower_array_method.rs:846,1,2,,,,31,31,91,31,31,91,31,0,0
